""	"C1"	"C2"	"C3"	"KO1"	"KO2"	"KO3"
"ENSMUSG00000001418.13"	4835	2488	5620	6960	4972	5049
"ENSMUSG00000001419.17"	33601	16446	39733	45371	33308	40495
"ENSMUSG00000001420.13"	64	52	72	93	53	82
"ENSMUSG00000001424.14"	12096	5187	13706	15831	11207	12779
"ENSMUSG00000001435.15"	919	514	1363	1365	892	1217
"ENSMUSG00000001436.15"	2151	969	2488	2676	1990	2347
"ENSMUSG00000001440.5"	26463	11496	30005	36205	25480	29551
"ENSMUSG00000001441.13"	19827	8902	21488	27520	18734	22495
"ENSMUSG00000001444.2"	19	22	93	47	502	137
"ENSMUSG00000001445.10"	6122	2824	7161	8951	6537	6335
"ENSMUSG00000001467.5"	11322	5745	13165	12580	10708	12552
"ENSMUSG00000001472.17"	77019	35874	90635	110793	78974	85088
"ENSMUSG00000001473.7"	532	238	652	746	801	646
"ENSMUSG00000001482.15"	6733	3315	8045	9095	6735	7769
"ENSMUSG00000001493.9"	47	38	57	94	112	62
"ENSMUSG00000001494.6"	2	8	8	8	12	5
"ENSMUSG00000001496.15"	109	135	119	245	123	138
"ENSMUSG00000001497.18"	6	4	19	0	0	1
"ENSMUSG00000001504.10"	18	2	24	33	47	56
"ENSMUSG00000001506.10"	5924	2119	5104	7771	5502	8335
"ENSMUSG00000001507.16"	2518	1158	3082	3407	2235	2752
"ENSMUSG00000001508.15"	63	35	56	54	47	75
"ENSMUSG00000001510.8"	8	16	15	21	23	17
"ENSMUSG00000001517.14"	258	113	327	393	259	288
"ENSMUSG00000001518.12"	2276	1097	2921	3524	2604	2699
"ENSMUSG00000001520.12"	1662	900	1680	2409	1641	1621
"ENSMUSG00000001521.12"	1844	814	2220	2875	2056	2125
"ENSMUSG00000001524.14"	1251	688	1838	2505	1561	1326
"ENSMUSG00000001525.10"	76421	35072	81101	101262	76284	80004
"ENSMUSG00000001542.7"	4590	1962	5127	5624	3895	4105
"ENSMUSG00000001552.14"	6353	3159	8481	10486	7690	7561
"ENSMUSG00000001555.10"	1370	485	1278	1298	1117	1158
"ENSMUSG00000001558.5"	37	11	19	31	36	34
"ENSMUSG00000001566.9"	0	0	0	0	0	0
"ENSMUSG00000001569.10"	3921	1755	4697	5435	3997	4571
"ENSMUSG00000001576.15"	17991	8553	20270	26339	18430	19982
"ENSMUSG00000001583.13"	2	3	20	6	10	10
"ENSMUSG00000001588.12"	15	0	14	21	31	10
"ENSMUSG00000001604.14"	84	24	147	134	76	93
"ENSMUSG00000001622.15"	4	0	1	0	1	4
"ENSMUSG00000001627.12"	4598	2242	5924	7234	4898	4819
"ENSMUSG00000001630.13"	3699	1659	4185	5173	3926	3952
"ENSMUSG00000001632.16"	3905	1872	4642	5344	4043	4505
"ENSMUSG00000001642.18"	5293	2272	6392	7448	5723	5098
"ENSMUSG00000001655.6"	3	0	0	0	0	3
"ENSMUSG00000001656.3"	0	0	0	0	0	0
"ENSMUSG00000001657.7"	1	1	1	10	5	7
"ENSMUSG00000001661.5"	1	0	0	0	0	0
"ENSMUSG00000001663.10"	660	307	983	1534	785	686
"ENSMUSG00000001665.11"	211	140	319	380	256	177
"ENSMUSG00000001666.8"	1848	926	2416	3242	2258	1681
"ENSMUSG00000001670.13"	9	5	8	15	4	14
"ENSMUSG00000001672.14"	49	14	81	57	19	32
