""	"C1"	"C2"	"C3"	"KO1"	"KO2"	"KO3"
"ENSMUSG00000039018.15"	2111	980	2699	3147	2296	2065
"ENSMUSG00000039021.15"	176	94	172	215	140	212
"ENSMUSG00000039031.16"	799	400	1111	1306	744	877
"ENSMUSG00000039032.2"	5	3	16	24	7	9
"ENSMUSG00000039033.11"	3492	1551	3736	5137	3580	3767
"ENSMUSG00000039037.5"	10007	4806	9998	12737	8385	10892
"ENSMUSG00000039041.15"	10072	4274	10891	13408	10220	9920
"ENSMUSG00000039043.5"	1820	868	2096	2558	1764	1713
"ENSMUSG00000039046.15"	4375	2143	5008	5830	4517	5343
"ENSMUSG00000039047.17"	8875	3918	10795	13460	9118	10129
"ENSMUSG00000039048.15"	3381	1555	4228	4692	3694	3872
"ENSMUSG00000039050.8"	7528	3422	8107	10008	7127	7837
"ENSMUSG00000039055.4"	112	49	123	172	119	113
"ENSMUSG00000039057.11"	6057	2625	8187	8045	8568	8943
"ENSMUSG00000039058.11"	25863	10759	26812	35861	23362	27158
"ENSMUSG00000039059.11"	15443	6280	17691	20434	16629	15430
"ENSMUSG00000039062.15"	1079	432	1344	1820	1081	1044
"ENSMUSG00000039063.5"	74	30	78	162	80	80
"ENSMUSG00000039065.11"	798	496	990	1298	958	970
"ENSMUSG00000039067.5"	10845	5513	11520	14847	11380	10909
"ENSMUSG00000039068.16"	6725	3052	7876	9627	6782	7849
"ENSMUSG00000039069.19"	1126	587	1472	1628	1228	1275
"ENSMUSG00000039070.5"	33	16	46	45	21	38
"ENSMUSG00000039079.1"	149	84	237	359	259	239
"ENSMUSG00000039081.10"	1106	629	1429	1679	1187	1495
"ENSMUSG00000039084.8"	20	5	50	61	26	18
"ENSMUSG00000039086.9"	6420	2746	7419	9103	6170	6953
"ENSMUSG00000039087.17"	1435	1121	2254	2671	2013	2908
"ENSMUSG00000039089.15"	3621	1631	4115	5656	3619	4010
"ENSMUSG00000039092.9"	24	15	23	24	5	4
"ENSMUSG00000039095.8"	88	56	446	220	100	126
"ENSMUSG00000039096.10"	2006	825	2315	2787	1843	2158
"ENSMUSG00000039097.5"	58	28	31	88	61	36
"ENSMUSG00000039098.3"	74	47	38	74	59	87
"ENSMUSG00000039099.7"	23	16	26	44	33	26
"ENSMUSG00000039100.10"	45833	19276	50161	64411	42251	52535
"ENSMUSG00000039103.12"	797	429	790	1239	766	857
"ENSMUSG00000039105.6"	9016	4802	11223	14921	10723	9513
"ENSMUSG00000039106.6"	2959	1188	3438	4286	2897	3150
"ENSMUSG00000039108.14"	13698	6283	14604	18787	13478	15158
"ENSMUSG00000039109.16"	701	311	706	860	607	671
"ENSMUSG00000039110.14"	113	63	211	240	121	202
"ENSMUSG00000039114.16"	30729	14281	31883	39137	30255	31404
"ENSMUSG00000039115.13"	1310	745	1439	1850	1325	1490
"ENSMUSG00000039116.6"	737	205	760	868	528	539
"ENSMUSG00000039117.16"	2058	1067	2563	2815	2200	2430
"ENSMUSG00000039126.10"	10055	4692	12689	15853	12173	12183
"ENSMUSG00000039128.13"	7503	3650	8358	10982	8042	7415
"ENSMUSG00000039130.18"	2789	1289	3228	4063	2917	2966
"ENSMUSG00000039131.15"	141	76	188	239	134	156
"ENSMUSG00000039137.18"	5683	2677	6283	6512	4825	5934
"ENSMUSG00000039145.16"	21259	9430	23587	30347	19446	24440
"ENSMUSG00000039146.5"	0	0	3	0	4	3
"ENSMUSG00000039148.5"	7045	3213	8270	9674	7474	8020
"ENSMUSG00000039153.16"	915	438	1118	1210	1004	1093
"ENSMUSG00000039154.8"	2441	1280	2960	3834	2590	2705
"ENSMUSG00000039155.15"	43	20	62	51	17	77
"ENSMUSG00000039156.19"	8346	4145	9441	12653	8385	9444
"ENSMUSG00000039157.12"	12685	6066	15139	18305	12225	13383
"ENSMUSG00000039158.11"	481	257	750	918	657	677
"ENSMUSG00000039159.16"	18841	8771	22493	26196	19879	21247
"ENSMUSG00000039163.10"	1406	665	1523	1744	1457	1476
"ENSMUSG00000039164.2"	815	421	926	1267	907	928
"ENSMUSG00000039166.16"	4787	1886	5706	7075	5150	5116
"ENSMUSG00000039167.11"	2041	1437	3050	2731	3279	2148
"ENSMUSG00000039168.15"	800	451	1112	1286	942	837
"ENSMUSG00000039174.14"	0	0	0	0	0	0
"ENSMUSG00000039176.17"	7572	3891	8913	10413	7866	9062
"ENSMUSG00000039178.9"	2965	1423	3539	4347	3131	3056
"ENSMUSG00000039179.13"	1299	601	1395	1689	1024	1266
"ENSMUSG00000039182.6"	2754	1223	3052	4117	2726	2730
"ENSMUSG00000039183.6"	3157	1549	3678	4543	3405	2999
"ENSMUSG00000039187.16"	160	68	135	186	139	184
"ENSMUSG00000039191.12"	4642	2333	5640	7194	4665	5401
"ENSMUSG00000039193.9"	36	54	139	179	65	83
"ENSMUSG00000039194.16"	2334	1234	3054	3773	2417	1942
"ENSMUSG00000039195.4"	15621	7364	19147	21575	16378	14910
"ENSMUSG00000039196.2"	0	0	0	0	0	0
"ENSMUSG00000039197.10"	6829	3021	7507	9400	7601	6568
"ENSMUSG00000039198.8"	0	0	0	0	0	0
"ENSMUSG00000039199.6"	2735	1401	3747	4514	3046	3215
"ENSMUSG00000039200.16"	2	2	0	0	2	3
"ENSMUSG00000039201.9"	1809	814	2148	2431	1744	2177
"ENSMUSG00000039202.12"	20065	8957	24569	28417	20463	23372
"ENSMUSG00000039205.16"	4300	1857	4793	5960	4444	5104
"ENSMUSG00000039206.13"	6506	2714	8202	10336	7370	7545
"ENSMUSG00000039208.15"	800	411	900	1156	628	772
"ENSMUSG00000039209.12"	9	5	1	5	7	7
"ENSMUSG00000039210.16"	2311	988	2535	2920	2203	2611
"ENSMUSG00000039215.5"	0	0	0	0	0	0
"ENSMUSG00000039217.13"	1184	819	1654	2374	1503	1516
"ENSMUSG00000039218.17"	29729	14858	38563	44411	31057	49134
"ENSMUSG00000039219.18"	5518	2321	6060	7638	5219	6492
"ENSMUSG00000039220.16"	7309	3830	8788	11586	7871	8589
"ENSMUSG00000039221.10"	4721	2404	5574	8475	5636	5376
"ENSMUSG00000039224.1"	0	0	2	2	0	0
"ENSMUSG00000039230.14"	5667	2394	6482	7240	5644	6160
"ENSMUSG00000039231.18"	4103	1834	4535	5718	4067	4453
"ENSMUSG00000039232.12"	51	24	45	116	53	50
"ENSMUSG00000039233.12"	2705	1094	3187	4160	3031	3079
"ENSMUSG00000039234.11"	2228	1030	2285	2768	1774	2009
"ENSMUSG00000039236.18"	83	36	99	148	188	115
"ENSMUSG00000039238.6"	14	5	7	19	14	15
"ENSMUSG00000039239.14"	2047	1176	2395	2755	2006	2353
"ENSMUSG00000039242.10"	1389	646	1684	2061	1261	1583
"ENSMUSG00000039244.10"	3055	1478	3882	4295	3294	3469
"ENSMUSG00000039246.8"	691	535	1044	980	994	922
"ENSMUSG00000039252.11"	18552	6694	20160	22573	16842	19499
"ENSMUSG00000039253.7"	4291	1663	5079	5703	4181	4253
"ENSMUSG00000039254.16"	1711	796	1908	2161	1672	1840
"ENSMUSG00000039257.11"	5388	2749	5647	7225	5256	5770
"ENSMUSG00000039262.16"	68708	29886	83522	97150	66672	87906
"ENSMUSG00000039263.16"	1358	728	1923	2011	1606	1517
"ENSMUSG00000039264.9"	6	10	26	19	11	3
"ENSMUSG00000039269.5"	2	0	3	0	1	0
"ENSMUSG00000039270.9"	25438	9809	29291	36547	23639	28572
"ENSMUSG00000039275.9"	17432	8565	19228	23260	16986	18796
"ENSMUSG00000039278.10"	93622	46471	110205	131391	97839	92987
"ENSMUSG00000039285.12"	9085	4410	10096	12707	8692	9674
"ENSMUSG00000039286.12"	2517	1375	2669	3220	2132	3168
"ENSMUSG00000039294.14"	1923	1055	2545	2870	2022	2090
"ENSMUSG00000039296.15"	3	0	0	0	0	0
"ENSMUSG00000039298.16"	2347	2214	2882	3019	1833	2454
"ENSMUSG00000039304.11"	230	204	294	449	344	240
"ENSMUSG00000039307.16"	5207	2076	6573	7952	5682	6312
"ENSMUSG00000039308.6"	1555	725	2001	2420	1579	1963
"ENSMUSG00000039313.14"	649	373	864	1009	860	732
"ENSMUSG00000039315.15"	19	17	30	37	19	23
"ENSMUSG00000039316.14"	1230	792	1518	1897	1274	1580
"ENSMUSG00000039318.12"	11293	5549	12422	15058	10576	13484
"ENSMUSG00000039321.1"	12	10	16	46	12	26
"ENSMUSG00000039323.18"	7929	3641	10462	11258	7946	9827
"ENSMUSG00000039328.11"	1649	828	1902	1809	1549	1584
"ENSMUSG00000039329.8"	0	0	1	0	0	1
"ENSMUSG00000039330.5"	0	3	4	1	1	1
"ENSMUSG00000039335.11"	4	3	16	0	5	1
"ENSMUSG00000039337.3"	0	0	3	0	0	0
"ENSMUSG00000039339.3"	3	0	9	3	1	8
"ENSMUSG00000039342.5"	0	0	2	0	0	3
"ENSMUSG00000039345.16"	1822	957	2157	2881	2140	1970
"ENSMUSG00000039347.7"	44586	23129	50536	61130	52592	50938
"ENSMUSG00000039349.5"	6414	2881	9351	11501	8169	8257
"ENSMUSG00000039354.16"	5457	2483	6307	7788	4995	6300
"ENSMUSG00000039356.15"	1736	789	2298	2769	1949	2095
"ENSMUSG00000039357.2"	3147	1702	3687	4341	3368	3713
"ENSMUSG00000039358.3"	365	270	558	633	421	498
"ENSMUSG00000039361.11"	18403	8339	21243	25815	17332	19887
"ENSMUSG00000039364.13"	0	0	0	0	0	0
"ENSMUSG00000039367.11"	10806	5003	12961	15710	10918	12483
"ENSMUSG00000039372.5"	3915	1940	3974	4954	3618	4931
"ENSMUSG00000039375.16"	4220	1846	5389	6097	3868	4569
"ENSMUSG00000039376.13"	61	23	54	96	69	76
"ENSMUSG00000039377.7"	100	73	86	135	90	77
"ENSMUSG00000039382.12"	3847	1700	4756	6264	4156	4200
"ENSMUSG00000039384.8"	972	440	1144	1371	939	992
"ENSMUSG00000039385.5"	4892	1880	5458	6608	4855	5894
"ENSMUSG00000039391.11"	44	65	95	134	52	76
"ENSMUSG00000039395.8"	681	276	865	937	702	699
"ENSMUSG00000039396.11"	137	50	192	178	105	119
"ENSMUSG00000039405.7"	2577	1004	3146	3856	3340	2717
"ENSMUSG00000039410.16"	1163	852	2022	2206	1463	1948
"ENSMUSG00000039414.10"	6647	2906	7715	8741	5522	8249
"ENSMUSG00000039419.17"	15681	7516	18523	25037	16947	20839
"ENSMUSG00000039427.14"	3277	1446	3874	4631	3681	3608
"ENSMUSG00000039428.11"	8629	4247	9579	12373	8386	9749
"ENSMUSG00000039431.16"	9471	3447	10565	13380	8796	10397
"ENSMUSG00000039438.7"	5	12	24	8	2	8
"ENSMUSG00000039449.14"	5916	3031	7007	8888	6279	6940
"ENSMUSG00000039450.11"	406	263	639	841	596	519
"ENSMUSG00000039452.6"	1184	792	1639	2075	1391	1345
"ENSMUSG00000039456.10"	2588	1172	3058	3850	2586	2694
"ENSMUSG00000039457.4"	93	22	62	61	40	55
"ENSMUSG00000039458.15"	5101	2165	5850	7553	5112	6030
"ENSMUSG00000039461.12"	4045	1729	4893	5831	4189	3964
"ENSMUSG00000039462.4"	106	43	80	120	83	120
"ENSMUSG00000039463.14"	4216	1664	5162	6298	4607	4649
"ENSMUSG00000039470.15"	8646	4599	9698	12217	9221	9236
"ENSMUSG00000039473.8"	7543	3608	9136	10476	7287	9152
"ENSMUSG00000039474.13"	20397	8997	23007	28107	19969	22146
"ENSMUSG00000039476.13"	121	62	219	194	152	175
"ENSMUSG00000039477.16"	15298	6757	17473	19618	15048	21741
"ENSMUSG00000039478.15"	15740	6967	17354	23257	16238	17336
"ENSMUSG00000039480.14"	250	154	380	346	247	321
"ENSMUSG00000039481.5"	390	155	513	601	474	480
"ENSMUSG00000039483.10"	4561	2133	5166	6247	4396	4706
"ENSMUSG00000039485.8"	77151	35892	89198	112560	75597	84390
"ENSMUSG00000039488.15"	717	302	911	860	646	1018
"ENSMUSG00000039492.7"	34	50	66	79	55	57
"ENSMUSG00000039496.8"	189	66	298	243	193	252
"ENSMUSG00000039497.8"	919	373	966	1296	775	875
"ENSMUSG00000039501.14"	9156	4070	11466	13028	8990	10911
"ENSMUSG00000039508.6"	1	15	12	5	5	2
"ENSMUSG00000039509.8"	4764	1796	5178	6143	4529	4955
"ENSMUSG00000039512.12"	3394	1429	3968	4241	3276	4217
"ENSMUSG00000039515.11"	23717	11697	27664	33990	24810	24237
"ENSMUSG00000039518.7"	257	95	324	389	242	306
"ENSMUSG00000039519.6"	1753	611	2029	2244	1455	1467
"ENSMUSG00000039521.13"	127	62	172	215	142	167
"ENSMUSG00000039523.16"	5665	2627	6402	7563	5195	6121
"ENSMUSG00000039529.9"	362	177	437	610	359	376
"ENSMUSG00000039530.17"	28166	13452	33926	44010	31141	30902
"ENSMUSG00000039531.8"	763	392	1092	1223	915	949
"ENSMUSG00000039533.8"	22419	11149	26325	32469	24172	21434
"ENSMUSG00000039536.16"	8765	4338	10175	12572	8928	9638
"ENSMUSG00000039539.13"	298	135	366	517	268	388
"ENSMUSG00000039540.9"	0	0	0	0	0	0
"ENSMUSG00000039542.16"	34659	15406	38240	45752	33362	40574
"ENSMUSG00000039543.16"	87	44	105	131	65	128
"ENSMUSG00000039546.9"	6836	3385	7566	9525	7898	8363
"ENSMUSG00000039552.14"	468	234	481	861	413	565
"ENSMUSG00000039555.13"	0	0	0	0	0	0
"ENSMUSG00000039556.16"	3753	1779	4358	5349	4004	4284
"ENSMUSG00000039568.6"	15757	7685	17404	21434	15945	16568
"ENSMUSG00000039577.17"	1834	717	2211	2465	1693	2201
"ENSMUSG00000039578.17"	1455	677	1587	2287	1410	1514
"ENSMUSG00000039579.15"	7799	3668	8257	10745	6807	10294
"ENSMUSG00000039585.15"	12017	5491	14307	16931	10719	15192
"ENSMUSG00000039599.16"	3359	1676	3997	4917	3597	4000
"ENSMUSG00000039601.16"	23840	11998	32178	39240	29177	23971
"ENSMUSG00000039607.15"	2399	1183	2608	3611	2531	2924
"ENSMUSG00000039608.6"	0	0	2	0	0	0
"ENSMUSG00000039611.2"	10279	4767	12532	14453	9823	10977
"ENSMUSG00000039615.9"	16384	7629	20176	24038	17203	18239
"ENSMUSG00000039616.10"	108	72	147	207	134	122
"ENSMUSG00000039617.8"	224	75	150	128	74	102
"ENSMUSG00000039620.17"	1563	630	1850	2180	1638	1880
"ENSMUSG00000039621.13"	22667	12736	28853	34749	25838	28145
"ENSMUSG00000039623.13"	2677	1286	3187	3947	2639	3001
"ENSMUSG00000039628.9"	46	18	70	64	43	54
"ENSMUSG00000039629.14"	5457	3217	7759	8596	7684	8513
"ENSMUSG00000039630.10"	21731	9810	24605	29127	21370	25607
"ENSMUSG00000039632.13"	512	267	617	744	497	533
"ENSMUSG00000039633.6"	3469	1546	4488	5143	3440	4448
"ENSMUSG00000039634.12"	1121	288	1432	1258	864	1403
"ENSMUSG00000039637.15"	8467	3812	9606	11246	8239	10380
"ENSMUSG00000039639.7"	2	0	0	5	0	1
"ENSMUSG00000039640.7"	7268	3525	8820	10268	7919	7001
"ENSMUSG00000039646.5"	1661	750	1947	1941	1213	1503
"ENSMUSG00000039648.14"	1110	479	1321	1673	1232	1224
"ENSMUSG00000039652.16"	4887	2128	5283	6689	4561	6093
"ENSMUSG00000039653.9"	7	4	9	20	20	11
"ENSMUSG00000039656.17"	10256	4728	11231	14118	10689	10744
"ENSMUSG00000039660.16"	3944	2071	4384	5761	4284	4332
"ENSMUSG00000039661.14"	10282	5345	11943	14268	10320	10423
"ENSMUSG00000039662.16"	10905	5095	12879	15742	10965	12576
"ENSMUSG00000039670.2"	573	203	746	844	638	522
"ENSMUSG00000039671.18"	12989	6599	15118	19125	13948	15702
"ENSMUSG00000039672.12"	265	154	306	302	118	569
"ENSMUSG00000039676.4"	171	90	149	202	89	162
"ENSMUSG00000039678.12"	7179	3336	7978	9632	6929	7991
"ENSMUSG00000039680.10"	2092	1252	2648	3431	2534	2200
"ENSMUSG00000039682.12"	6019	2921	7227	8543	5924	5416
"ENSMUSG00000039683.16"	2063	745	2322	2755	2040	2476
"ENSMUSG00000039684.9"	6	24	28	48	21	9
"ENSMUSG00000039686.14"	26438	12048	31031	38937	25495	30929
"ENSMUSG00000039691.10"	3	0	5	21	29	11
"ENSMUSG00000039693.11"	1720	808	1865	2217	1787	1858
"ENSMUSG00000039697.16"	11775	5171	11803	16012	10570	12800
"ENSMUSG00000039699.14"	11	6	25	16	19	15
"ENSMUSG00000039701.11"	2890	1180	2966	3655	2558	3197
"ENSMUSG00000039703.15"	9571	4335	10637	13432	9302	10902
"ENSMUSG00000039704.7"	16723	7001	17789	23213	15133	18331
"ENSMUSG00000039706.11"	6796	3052	7410	9084	5340	6683
"ENSMUSG00000039710.14"	0	0	0	1	0	0
"ENSMUSG00000039713.16"	9797	4511	10850	12714	9260	11889
"ENSMUSG00000039714.9"	3416	1377	3983	6637	3901	2769
"ENSMUSG00000039715.8"	3706	1869	4816	5657	4085	3920
"ENSMUSG00000039716.12"	43611	16677	48704	56687	39823	53312
"ENSMUSG00000039717.16"	10002	4504	10736	14022	10170	10889
"ENSMUSG00000039720.7"	34	35	77	113	54	65
"ENSMUSG00000039725.6"	2572	1272	3130	3764	2873	2861
"ENSMUSG00000039728.15"	33	17	79	71	30	307
"ENSMUSG00000039735.15"	10805	5430	12229	16336	10757	13558
"ENSMUSG00000039737.11"	2343	1116	2680	3444	2471	2357
"ENSMUSG00000039738.16"	3567	1648	4170	4835	3228	4144
"ENSMUSG00000039740.6"	22753	10286	24709	31232	21419	23702
"ENSMUSG00000039741.15"	3421	1655	4450	5115	3728	5174
"ENSMUSG00000039742.15"	0	0	0	0	0	0
"ENSMUSG00000039745.8"	994	533	1332	1488	985	846
"ENSMUSG00000039747.11"	11303	5158	12072	15092	10980	12878
"ENSMUSG00000039748.11"	150	34	125	185	194	195
"ENSMUSG00000039753.16"	10446	4951	11571	15346	10569	10818
"ENSMUSG00000039754.10"	764	380	658	1049	767	764
"ENSMUSG00000039756.12"	2892	1302	3421	3914	2757	3001
"ENSMUSG00000039759.10"	882	442	1044	1290	986	1015
"ENSMUSG00000039760.8"	2	0	1	0	0	0
"ENSMUSG00000039763.10"	1531	753	1724	2335	1402	1638
"ENSMUSG00000039765.15"	2042	830	2720	3073	1935	2362
"ENSMUSG00000039768.16"	8392	3531	9780	11658	8606	8924
"ENSMUSG00000039770.6"	12080	6046	15404	18623	13665	13439
"ENSMUSG00000039771.13"	2520	1147	3087	3663	2715	2385
"ENSMUSG00000039774.12"	129	68	172	183	180	130
"ENSMUSG00000039775.7"	0	0	0	0	0	0
"ENSMUSG00000039781.14"	3254	1157	3492	4016	3090	3874
"ENSMUSG00000039782.14"	12281	4465	12604	16227	10762	13986
"ENSMUSG00000039783.15"	21	10	24	42	29	21
"ENSMUSG00000039785.5"	0	0	0	0	0	0
"ENSMUSG00000039787.13"	459	275	415	794	410	607
"ENSMUSG00000039789.7"	2830	1265	2930	3874	2877	3385
"ENSMUSG00000039795.14"	1777	742	2356	3097	2099	2036
"ENSMUSG00000039801.7"	4156	1966	4794	6038	3676	5586
"ENSMUSG00000039804.15"	5909	3441	6699	8534	6519	6364
"ENSMUSG00000039809.10"	52410	22231	59500	70307	48550	62271
"ENSMUSG00000039810.11"	2311	897	2591	3169	2222	2362
"ENSMUSG00000039813.14"	238	156	374	349	242	295
"ENSMUSG00000039814.15"	23	7	31	31	13	25
"ENSMUSG00000039824.4"	1478	702	1742	2309	1700	1585
"ENSMUSG00000039826.13"	3638	1533	6383	5512	4623	3814
"ENSMUSG00000039828.7"	2602	1279	3156	3696	2761	2778
"ENSMUSG00000039830.9"	4773	2897	5897	6441	4513	4783
"ENSMUSG00000039831.16"	3058	1431	3921	4910	3474	3310
"ENSMUSG00000039834.17"	2918	1661	3639	4371	3308	4312
"ENSMUSG00000039835.16"	4053	2121	4066	5471	3829	4932
"ENSMUSG00000039838.11"	7671	3178	8447	10546	7778	8549
"ENSMUSG00000039840.8"	3458	1471	4100	4751	3116	4252
"ENSMUSG00000039841.14"	1224	595	1362	1811	1175	1456
"ENSMUSG00000039842.15"	1328	650	1682	1935	1346	1573
"ENSMUSG00000039844.19"	20430	9516	21648	28106	19319	24756
"ENSMUSG00000039849.5"	8334	3404	10511	11884	8632	9589
"ENSMUSG00000039850.16"	4198	2098	5406	6573	4778	5050
"ENSMUSG00000039851.11"	99	78	127	161	101	121
"ENSMUSG00000039852.17"	16443	7449	18814	22564	15952	20722
"ENSMUSG00000039853.18"	53	32	73	67	42	59
"ENSMUSG00000039860.19"	6348	3420	7437	9221	6721	7531
"ENSMUSG00000039865.8"	7	11	27	27	15	22
"ENSMUSG00000039873.4"	290	187	427	459	323	380
"ENSMUSG00000039878.13"	36	11	56	72	37	32
"ENSMUSG00000039879.9"	4810	2386	5660	6751	4787	5482
"ENSMUSG00000039883.5"	278990	291558	407906	225276	237299	196278
"ENSMUSG00000039886.8"	1492	845	2067	2280	1604	1529
"ENSMUSG00000039887.11"	1399	720	1693	2288	1518	1507
"ENSMUSG00000039891.6"	158	76	226	289	157	111
"ENSMUSG00000039899.5"	560	234	623	896	561	509
"ENSMUSG00000039901.10"	3323	1508	4047	4850	3361	3679
"ENSMUSG00000039903.17"	241	75	354	385	241	221
"ENSMUSG00000039904.9"	8093	4090	10167	11381	7005	6870
"ENSMUSG00000039908.14"	630	248	712	1166	478	645
"ENSMUSG00000039910.10"	6606	2897	7186	9451	7669	7257
"ENSMUSG00000039911.13"	2750	1012	3185	3645	2494	2330
"ENSMUSG00000039913.12"	8774	2650	10562	12416	8582	8594
"ENSMUSG00000039914.6"	4159	1984	4923	5930	4524	4516
"ENSMUSG00000039917.10"	10871	5164	12829	16489	11114	11881
"ENSMUSG00000039929.14"	1520	612	2009	2056	1491	1902
"ENSMUSG00000039934.12"	475	261	771	754	596	423
"ENSMUSG00000039936.18"	2797	1380	3215	4043	2552	3362
"ENSMUSG00000039942.15"	175	125	198	266	222	227
"ENSMUSG00000039943.16"	7361	3165	9371	11865	8465	9160
"ENSMUSG00000039952.15"	19865	9193	21789	25935	19059	22308
"ENSMUSG00000039953.13"	249151	103060	273132	325643	226998	260389
"ENSMUSG00000039954.9"	690	521	977	1355	751	990
"ENSMUSG00000039956.9"	41	14	60	131	28	30
"ENSMUSG00000039958.17"	259	138	357	453	369	261
"ENSMUSG00000039959.13"	7589	3599	8578	10357	7821	8849
"ENSMUSG00000039960.5"	7115	2455	8714	10073	6080	7725
"ENSMUSG00000039962.3"	53	17	70	45	67	51
"ENSMUSG00000039963.19"	204	125	305	368	214	256
"ENSMUSG00000039967.14"	4464	2115	5052	6693	4221	5696
"ENSMUSG00000039968.9"	3968	1709	4333	6166	4064	4813
"ENSMUSG00000039976.4"	9027	4701	10404	12247	9167	10279
"ENSMUSG00000039977.16"	6	20	38	52	31	30
"ENSMUSG00000039981.6"	91	23	57	90	65	74
"ENSMUSG00000039982.8"	5462	2390	6361	6987	4922	5743
"ENSMUSG00000039983.13"	6799	3282	7956	10186	7587	7006
"ENSMUSG00000039985.14"	262	214	340	331	346	301
"ENSMUSG00000039987.15"	2242	1072	2304	2955	2265	2675
"ENSMUSG00000039988.14"	13515	6315	13920	18228	13810	14090
"ENSMUSG00000039989.7"	9667	3969	10097	12261	9047	10689
"ENSMUSG00000039990.16"	2857	1230	3260	3832	2433	3082
"ENSMUSG00000039994.15"	596	282	681	959	712	758
"ENSMUSG00000039997.16"	79	48	127	116	101	130
"ENSMUSG00000040003.18"	16092	6657	18502	22057	15153	19092
"ENSMUSG00000040006.13"	800	382	886	1218	841	810
"ENSMUSG00000040007.8"	6295	3003	8019	8555	6183	7256
"ENSMUSG00000040009.6"	12717	5835	14020	16540	12383	14207
"ENSMUSG00000040010.10"	11302	5613	14346	14720	13221	11864
"ENSMUSG00000040013.11"	13	4	10	17	15	14
"ENSMUSG00000040016.16"	815	329	933	967	655	722
"ENSMUSG00000040017.8"	6	2	11	4	3	2
"ENSMUSG00000040018.9"	4562	1880	5041	6473	4370	4816
"ENSMUSG00000040021.13"	2576	1238	2835	3444	2551	3102
"ENSMUSG00000040022.14"	10691	4316	11200	14681	9982	12245
"ENSMUSG00000040025.17"	5679	2488	6055	8144	5513	5720
"ENSMUSG00000040026.8"	11	5	21	9	4	22
"ENSMUSG00000040028.10"	10570	4367	11562	13791	9680	11230
"ENSMUSG00000040029.14"	6136	3082	7162	8783	6001	7341
"ENSMUSG00000040033.16"	2566	1260	3128	3610	2476	3070
"ENSMUSG00000040034.15"	138	66	164	196	155	169
"ENSMUSG00000040035.14"	47034	20953	51977	63503	42778	57071
"ENSMUSG00000040037.13"	41026	17561	41007	56680	39479	47965
"ENSMUSG00000040040.16"	1865	826	2289	3102	1907	2247
"ENSMUSG00000040043.16"	1054	516	1261	1748	1148	1166
"ENSMUSG00000040044.11"	3327	1562	3964	4715	3544	3789
"ENSMUSG00000040046.14"	48	13	29	70	61	61
"ENSMUSG00000040048.14"	11497	6676	13428	17658	12796	11575
"ENSMUSG00000040054.16"	6628	2730	7689	8636	6193	8336
"ENSMUSG00000040055.9"	8090	3600	9185	12941	8219	7983
"ENSMUSG00000040061.17"	449	222	638	807	448	599
"ENSMUSG00000040065.8"	0	4	3	22	14	7
"ENSMUSG00000040078.9"	215	84	273	338	243	220
"ENSMUSG00000040084.9"	145	98	416	469	268	302
"ENSMUSG00000040086.13"	54	29	61	73	48	60
"ENSMUSG00000040093.15"	770	448	1082	1520	942	1103
"ENSMUSG00000040097.16"	37761	16679	44403	53617	35574	37543
"ENSMUSG00000040102.10"	4256	1918	4580	5527	3897	4578
"ENSMUSG00000040105.3"	8435	3612	8992	11064	7769	9622
"ENSMUSG00000040111.16"	27047	12831	28985	34628	25172	32881
"ENSMUSG00000040112.9"	2236	1089	2615	3552	2773	2569
"ENSMUSG00000040113.14"	90	36	111	116	132	82
"ENSMUSG00000040118.15"	36594	14838	39014	51657	34157	44685
"ENSMUSG00000040121.5"	107	44	217	138	125	126
"ENSMUSG00000040123.17"	3599	1715	4394	5339	4013	4263
"ENSMUSG00000040124.5"	1205	606	1402	1745	1258	1229
"ENSMUSG00000040125.4"	32044	13887	39962	41971	29131	42713
"ENSMUSG00000040127.13"	8	4	11	8	2	8
"ENSMUSG00000040128.9"	4639	1985	4966	6410	4641	5065
"ENSMUSG00000040132.6"	0	0	0	0	0	0
"ENSMUSG00000040133.2"	1756	926	2105	2423	1509	1687
"ENSMUSG00000040134.8"	0	0	0	0	0	0
"ENSMUSG00000040136.10"	2952	1313	3821	4406	2971	3753
"ENSMUSG00000040138.7"	936	440	1255	1415	1137	988
"ENSMUSG00000040139.14"	257	116	290	365	331	290
"ENSMUSG00000040140.15"	130	27	73	119	47	134
"ENSMUSG00000040146.9"	323	155	551	488	378	303
"ENSMUSG00000040147.14"	2816	1250	3371	3534	2724	2289
"ENSMUSG00000040148.5"	0	17	0	0	0	0
"ENSMUSG00000040151.9"	10965	4789	12590	15869	11105	12207
"ENSMUSG00000040152.8"	704	287	797	1634	718	887
"ENSMUSG00000040154.11"	0	0	0	0	0	4
"ENSMUSG00000040158.12"	993	557	1426	1644	1249	1253
"ENSMUSG00000040163.14"	3	4	2	2	3	2
"ENSMUSG00000040164.3"	3027	1385	3604	4387	2904	3157
"ENSMUSG00000040165.14"	167	104	225	330	220	216
"ENSMUSG00000040167.16"	3883	1617	3408	5160	3816	4072
"ENSMUSG00000040170.13"	164	30	266	281	174	171
"ENSMUSG00000040174.14"	593	270	908	916	793	728
"ENSMUSG00000040177.10"	3205	1470	3691	4937	3288	3568
"ENSMUSG00000040181.14"	2370	1199	2918	3720	2435	2254
"ENSMUSG00000040183.13"	3579	2527	4335	6027	4139	4767
"ENSMUSG00000040187.15"	269	179	390	541	349	503
