Cell number,Location of the middle of cell in X axis (pixels),Location of the middle of cell in X axis (pixels)
418,23395,102.73
419,24033,1008.4
420,22999,1367.7
421,22562,804.97
422,23604,1788.5
423,22784,902.7
424,22437,1142.8
425,23002,1241.1
426,22909,1993.4
427,23828,73.079
428,22475,939.37
429,23217,1280.9
430,22975,1073.7
431,22764,1842.5
432,22650,1855.5
433,22420,75.225
434,23877,99.913
435,23784,1747.3
436,23939,795.8
437,22549,74.329
438,23487,2917.7
439,23245,2863.4
440,23461,2644.5
441,23620,3811.1
442,23404,3778.8
443,23916,2631.2
444,22769,3508.7
445,23172,2852
446,22440,2888.7
447,22241,3815.8
448,23162,2175.4
449,22379,3821.1
450,23724,2879.6
451,22325,3522.6
452,22182,3220.9
453,23378,2711
454,23823,2711.9
455,22761,3854.8
456,23362,2954.1
457,22745,2855
458,23859,3374.9
459,23616,3009.7
460,22131,2981
461,22142,2764.3
462,23753,3516
463,23374,2233.6
464,23490,3490.7
465,23797,3723.3
466,23696,4032.8
467,23596,3882.7
468,22204,4006.6
469,20939,3194.1
470,20946,2909.7
471,20724,3255.6
472,21150,3950
473,21587,3332.6
474,21847,2770.3
475,21247,2491.3
476,20935,3732.9
477,21653,3278.3
478,20997,2761.4
479,20752,3785.6
480,21125,2932
481,20851,3022.7
482,20438,3482.9
483,21845,2473.8
484,20321,2701.4
485,21193,2363.2
486,20710,3968.9
487,20306,3395.9
488,20376,3100.8
489,21888,2595.1
490,21301,3618.2
491,20887,3223.3
492,20746,2775.6
493,21363,3452.7
494,20931,3559.6
495,20844,3425.3
496,20641,2961.3
497,20578,3364.8
498,21834,2697.4
499,21192,3362.2
500,21045,3414.9
501,20425,4013.6
502,21804,2222
503,21214,3751.9
504,20961,3869.4
505,21757,3352.2
506,21742,3496.1
507,20747,3347
508,20304,3690.8
509,20200,2921.9
510,20172,3971.4
511,21907,2998.6
512,21171,2697.2
513,20497,2929.9
514,20583,3225.8
515,21710,2340.2
516,21403,3272.9
517,21898,3295.2
518,20753,3103.9
519,20657,2604.3
520,21388,2402.7
521,20458,3223.5
522,20535,2711.9
523,21766,3297.7
524,20908,4027
525,20421,2801.1
526,21623,2253.3
527,20352,2988.7
528,21597,3553.2
529,21926,3835.5
530,20412,2233.6
531,21444,3559.5
532,19627,2791.9
533,19649,2446.3
534,19565,2726.9
535,19465,3470
536,19284,2557
537,19786,3846.8
538,19674,2657.1
539,18908,2756.4
540,19425,2447.1
541,19207,2407.7
542,19619,3536.8
543,19616,3765.4
544,19488,2587.8
545,19537,3813.2
546,19834,2697.5
547,19876,3176.9
548,19654,3276.5
549,19088,2746.9
550,19321,3188.8
551,19328,2239.1
552,19457,4005.1
553,19076,3679.9
554,19813,2219.4
555,19374,3319
556,19893,3295.4
557,19387,3479.8
558,18785,2304
559,19134,3863.1
560,18478,2873.1
561,18851,3099.5
562,18728,2977.8
563,19094,3445.8
564,18581,2884.8
565,18611,2600.4
566,19838,2357.3
567,18966,2861.6
568,19243,3522.1
569,19184,3971.9
570,18335,3259.4
571,18316,3826.4
572,18359,3128.8
573,18706,2717.5
574,19250,3363.8
575,18716,3370.6
576,18610,3304.6
577,18569,3739.5
578,18345,3590.6
579,16393,2315.5
580,16263,2975.2
581,16958,2637.4
582,16277,3659.6
583,16597,4025.2
584,17857,3158.1
585,17043,2514.3
586,16337,3189
587,16493,3312.4
588,16638,2210.9
589,16303,3374.9
590,16200,2466.7
591,17220,2378.4
592,16977,2912.8
593,16283,3557.6
594,17502,2763.9
595,17162,2309.2
596,16940,3938.2
597,16734,2584.6
598,16558,2926
599,16695,2440.9
600,16124,3138.9
601,17346,3339.7
602,17066,2427.4
603,16550,2413.5
604,16515,3869.8
605,14747,2556.2
606,14284,2590.7
607,14488,2878.7
608,14343,2343.6
609,15300,3331.7
610,14617,3149.9
611,14458,3816.9
612,15198,2988.1
613,14737,2250.5
614,15253,3159.2
615,14967,3725.3
616,14731,3331.8
617,14551,3947
618,14136,3835.4
619,14426,3367.3
620,15376,3811.8
621,14993,3265.2
622,14301,3049.6
623,14407,2999
624,14135,3545.8
625,15212,3354.3
626,14230,3699.8
627,15426,2911.8
628,15191,3449.6
629,15185,3764.3
630,15133,3645.3
631,15324,3529.2
632,14988,3471.5
633,15748,3705.5
634,15745,2637.3
635,15717,2488.6
636,15203,2796.4
637,14233,3350.6
638,15627,3673.4
639,15578,2517.8
640,15362,3279.1
641,14879,2634.4
642,14655,2758.8
643,15403,3122.3
644,15014,3929.2
645,14760,3880.6
646,15236,3917.3
647,15781,2974.7
648,15839,3611
649,15701,4014.5
650,15653,3735.7
651,15504,3407.7
652,15636,2840.9
653,15755,3230.5
654,14309,3959.8
655,15598,3069.1
656,13494,2529.8
657,13122,2599.8
658,13170,3936.4
659,12989,3621.9
660,12997,2646.5
661,12992,2413
662,12874,3868.9
663,12860,2685.2
664,12783,3692.1
665,12752,2223.1
666,12407,2401.1
667,12451,3470
668,12255,2877.2
669,12262,3283.1
670,13447,3760.2
671,13543,3159.8
672,12179,3989.4
673,12904,2253.7
674,13294,3746.7
675,12852,2527.6
676,12319,3052.3
677,12880,2863.3
678,12823,2924.7
679,12835,3033.7
680,13105,2455.1
681,12292,3924.9
682,12378,3122.3
683,13115,3365.1
684,12185,3581
685,12600,3009.4
686,12887,3518.3
687,11783,3342.3
688,11818,3867
689,11389,3640.9
690,11142,3581.8
691,10923,2970.7
692,10937,3775.5
693,10934,3521.2
694,10877,3140.5
695,10776,3728
696,10720,3047
697,10710,3299.6
698,10668,3474.3
699,10689,2657.2
700,10625,2751.7
701,10471,3088.2
702,10481,3815.3
703,10281,3842.2
704,10377,3518
705,10543,3776.4
706,11093,3051.1
707,10536,2847.8
708,11381,2885.2
709,11191,2278.3
710,11150,3730.3
711,10606,3966.8
712,11728,3978.6
713,10862,3370
714,10369,3866.4
715,10695,3827.6
716,10448,3294.2
717,10317,3213.1
718,10588,3083.8
719,11040,2595.7
720,11142,2716.6
721,9661.3,3467.3
722,9742.4,3148.6
723,9649.7,3338.3
724,9630.1,3048.2
725,9510.6,3171.5
726,9409,3549.7
727,9355.6,2987
728,9307.1,3573.5
729,9265.6,2766.6
730,9289.3,2544.1
731,9222.4,3893.2
732,9041.5,3961.1
733,8931,4033.4
734,8988.5,3889.3
735,8937.5,2619.2
736,9015.3,2237.5
737,8777.9,3957.6
738,8870.7,2801
739,8710.7,2726.2
740,8702.6,3640.4
741,8540.3,3796.6
742,8477.3,3199.3
743,8370.5,3766.8
744,8326.2,2625.8
745,8419.1,3454.8
746,8069.3,2945.1
747,8075.6,2689.4
748,8315.1,2648.4
749,9522.7,4013.6
750,9531.1,2355.8
751,8476.6,2543.1
752,8754.1,2356.1
753,8914.2,2396.6
754,8223.3,3321.5
755,8220.2,2894.6
756,9808.6,2551.5
757,9278.5,3201.7
758,8872,3719.4
759,8234,2498.1
760,8058.3,3266.4
761,8230.2,2998.5
762,8106.8,2242.4
763,8197.2,3607.8
764,8804.2,3056.9
765,8575.1,2775.1
766,8336.7,3567
767,9316.7,3818.5
768,9465.6,2807
769,9158.5,2404
770,9278.3,3460.3
771,9011.5,3270.6
772,7668,3532.3
773,7478.7,3360.5
774,7544.8,2967.4
775,7433.8,3252.1
776,7322.9,3675.1
777,7356.8,2953.3
778,7145.6,3524.8
779,7220.7,3101.9
780,7188.2,3212.4
781,7091.5,3805.8
782,6975.8,2308.3
783,6875.4,3276.1
784,6371.3,2765.3
785,6397.4,3208.5
786,6314,2698.4
787,6301.9,2409.8
788,6359.5,2559.1
789,6171.1,2536.1
790,6125.3,3187.8
791,6645.3,3189.8
792,6937.6,3487.4
793,6236.8,3091.3
794,7288.9,2452.7
795,7535.7,3622.4
796,7629.4,3151.1
797,6434.8,2417
798,6158.4,3470.3
799,6240,2792
800,6764.9,3126.8
801,6513.1,3686.5
802,6259.2,3401.1
803,7627.3,3947
804,6996.6,4001.2
805,6225.2,4012.2
806,6287.4,3618.1
807,6143.5,3709.6
808,6825.7,3932.1
809,6654.8,2567.6
810,5634.4,3303.7
811,5459.4,3562
812,5323.7,2788.5
813,5286.2,2596.3
814,5348.9,3219.2
815,5243.2,2443.8
816,5197.3,3884
817,5230.9,3706.8
818,5127.7,3575.4
819,5141.2,2917.2
820,5019.8,2489
821,5068.8,3984.4
822,4892.2,3970.6
823,4451.5,3177.9
824,4354.6,2493.1
825,4338.2,3584.8
826,4246.6,2616.1
827,4123,2738
828,5302.6,2960.4
829,5103.1,3783.1
830,5426.2,2821
831,5629,3708
832,5218.9,3194.4
833,4907.8,3103.2
834,4927,3825.1
835,5209.2,3074.3
836,5448.1,3856.6
837,5115.1,3130.9
838,4936.4,3647.7
839,4803.3,4004.5
840,5136,3451.5
841,5412.6,3767.9
842,3618,2739.1
843,3497.4,3104
844,3212,2502.1
845,2991.6,2267.8
846,2961.6,2849.7
847,2942.3,3073.1
848,2827.2,3185.3
849,2780.5,3001.2
850,2762.1,3082.5
851,2582.1,3000.8
852,2548.8,3542.1
853,2530.9,2534.3
854,2972.8,2380.2
855,2967.4,2240.7
856,2752,2524
857,2830.9,2266.8
858,3407.4,2860.6
859,2841.1,2430.7
860,2720.5,2366.9
861,2915,2587.2
862,1480.7,5874.1
863,1456.6,5624.8
864,1361.1,5508.4
865,1440.2,5312.8
866,1260,5981.6
867,1186.3,5480.6
868,1256.6,5669.1
869,1061.2,4532.2
870,1096.3,5364.5
871,963.55,4751.3
872,1097.7,5824.4
873,1033.4,5644
874,893.55,4675.7
875,905.22,5332.4
876,853.2,5965.1
877,761.24,5708.1
878,755.16,5062
879,929.09,5826.8
880,591.07,5345.7
881,521.59,5819.4
882,434.3,5467.4
883,263.54,4433
884,1337,4664.7
885,585.98,5968.7
886,498.06,4394.5
887,328.4,5583.6
888,636.98,5215.8
889,557.78,5594.4
890,156,5793
891,165.58,4805.9
892,335.26,5703.5
893,60.665,5242.7
894,52.227,5592.2
895,787.77,5788.9
896,72.941,4451.1
897,1597,5653.8
898,728.02,5462.5
899,1278.8,5383.4
900,1335.1,4405.2
901,783.12,5125.7
902,360.27,5916.5
903,461.34,5163.5
904,107.43,6013.3
905,336.36,4991.6
906,311.72,5299.6
907,553.92,5017.9
908,111.43,5382.7
909,1240.8,5801.5
910,469.93,4809.2
911,808.38,5232.9
912,353.88,5156.8
913,635.83,4948.6
914,491.84,4561.3
915,170.23,5946.6
916,3372.6,4886.3
917,3093.7,5574.7
918,3089.5,5096.3
919,3061.4,5271.6
920,2979.2,5477.2
921,2926.7,5933.2
922,2870.5,5761.7
923,2746,5638.6
924,2613.2,5923
925,2607.4,5744.6
926,2510.4,5545
927,2396.8,5721.4
928,2365.6,5484.6
929,2305.3,5564.7
930,2978.7,5723.3
931,5576.4,6024.2
932,5440.3,5916.4
933,5320,5843.7
934,5170.8,5781
935,4915,5679.3
936,4921.4,5156.6
937,4875.4,5456
938,4834.2,5308.6
939,4837.5,4975.8
940,4739.4,5545.6
941,4716.5,5383.2
942,4751.5,5126.9
943,4577.7,4273.8
944,4802,4592
945,4495.2,5018.4
946,4576.3,5416.3
947,4422.1,4901.2
948,4378.3,4405.7
949,4290.2,4762.5
950,4205.7,4910.5
951,4155.1,5399.1
952,5129.5,4334
953,4696.9,4861.7
954,4486,4645.3
955,5026.1,5370.7
956,4950.5,4832.9
957,5619,4631.4
958,5700.7,5793.3
959,4462.2,5320.5
960,5508.2,5578.5
961,5371.1,4773.5
962,4193.7,4469
963,4137,5707
964,5007.6,4435.4
965,4125.5,5014.7
966,4793.2,4758.5
967,5116.3,4718.5
968,4196.6,5217.3
969,5357.6,5039.9
970,5166.9,4862.7
971,4749.3,5022.6
972,5686.4,5222.8
973,4516.8,5889.4
974,5685.1,5492.1
975,5350.8,4598
976,5217.5,5271
977,5108,5426.8
978,5433.1,4472.1
979,5951.9,5816.6
980,5631.6,5864.7
981,5393.1,5485.1
982,5180.8,4534.3
983,4814.8,4312.6
984,5551.3,4936.2
985,7894.1,5021.7
986,7946.1,5291.8
987,7391.9,5978.3
988,7349.5,5851.4
989,7275.8,4619.6
990,7213.4,6002.5
991,7162.2,4927.4
992,6985.1,4769.9
993,6908,4612.4
994,6745.1,4469.1
995,6863.6,5047.3
996,6863.6,4913.4
997,6311.3,4866.1
998,6317.1,5146.6
999,6346.5,4576.4
1000,6259.5,5867
1001,7141.4,4515.6
1002,6306.9,4999.3
1003,6362.6,5743.6
1004,7856.7,5148.3
1005,6426.6,5016.8
1006,6197,5306.3
1007,7717,4631.1
1008,7425.3,4772.3
1009,6339.5,4255.7
1010,6391.4,5237.4
1011,6107.4,5911.4
1012,7432.7,5163.7
1013,7682,5527.3
1014,7611.9,5467.9
1015,7271.9,5088.4
1016,6544,5139.3
1017,6430.8,5382.2
1018,7315.7,5278.6
1019,6466,5292.6
1020,7135.7,5668.7
1021,6344.3,5504.4
