Cell number,Location of the middle of cell in X axis (pixels),Location of the middle of cell in X axis (pixels)
2542,12550,11609
2543,13002,10419
2544,12519,11360
2545,12148,11239
2546,13161,11259
2547,13144,10497
2548,12270,10828
2549,12435,11562
2550,12347,11033
2551,12667,10257
2552,12849,10334
2553,13100,11933
2554,13230,11764
2555,12633,12051
2556,13023,11329
2557,12563,10292
2558,12947,11999
2559,11433,11520
2560,11204,11984
2561,11284,10987
2562,11234,11454
2563,11281,11532
2564,10906,11999
2565,10683,10994
2566,10618,11197
2567,10482,11696
2568,11250,11212
2569,11245,10250
2570,10653,10270
2571,10558,10433
2572,10673,11686
2573,11380,11362
2574,11004,10334
2575,11055,10664
2576,11347,10761
2577,10637,11396
2578,10584,10662
2579,10382,11154
2580,11492,10737
2581,10801,10496
2582,10332,10313
2583,10078,10393
2584,11339,10446
2585,11161,12053
2586,10949,11712
2587,10851,10735
2588,11157,11025
2589,10657,11569
2590,11097,10818
2591,10335,11798
2592,10219,11397
2593,11575,11299
2594,11375,11114
2595,10922,11201
2596,11054,11645
2597,10529,11537
2598,11055,11887
2599,10422,10638
2600,10237,10438
2601,10249,10614
2602,10188,10932
2603,10649,12006
2604,10995,11421
2605,10741,10699
2606,9133.2,11646
2607,8862.1,10750
2608,8755.4,10830
2609,8685,10739
2610,8579,10572
2611,8327.8,11887
2612,8337.1,11607
2613,8077.3,11243
2614,8096.5,11030
2615,8126,11371
2616,8991.2,11741
2617,8850.2,11739
2618,8063.5,11485
2619,8918.1,10349
2620,9190.3,11957
2621,8272.8,11687
2622,8176.7,10487
2623,8229.5,11804
2624,8758.6,11577
2625,8085,10414
2626,9228.4,11680
2627,9768.9,11286
2628,9729.9,12024
2629,8718.8,11832
2630,8660.4,11061
2631,8503,10371
2632,8224,10388
2633,9011.2,11922
2634,9754.6,11703
2635,8953.2,12016
2636,8132.6,11132
2637,8477.5,11784
2638,9522.4,11729
2639,9371,11766
2640,8484.8,12043
2641,7587.1,11443
2642,7360.9,11361
2643,7331.8,11227
2644,7257.6,11182
2645,7306.6,10615
2646,7299.1,11514
2647,7205.7,11533
2648,7088.4,11373
2649,6898.5,11317
2650,6788.5,11404
2651,6655.8,11490
2652,6651.3,11312
2653,6674.6,11399
2654,6501.9,11321
2655,6389.4,11253
2656,6266.6,11228
2657,6224.2,11347
2658,6930.8,11401
2659,7135.8,11233
2660,6241.4,11476
2661,7172.8,10592
2662,6432.3,11436
2663,7239.7,10756
2664,6790.3,11221
2665,7642.4,11634
2666,7403.9,10447
2667,7340.4,11065
2668,7157.1,11396
2669,7396.5,10718
2670,7723.4,10496
2671,6176,10983
2672,7815.2,11045
2673,7015.7,10874
2674,6782,10882
2675,5747.4,11352
2676,5226.4,10607
2677,5126.8,10525
2678,5099.3,10338
2679,5033.8,10202
2680,4985.4,11450
2681,4932.7,11287
2682,4870.2,11720
2683,4701.5,11233
2684,4736.7,11368
2685,4719.4,11475
2686,4649.2,10437
2687,4655.2,11634
2688,4586.4,10935
2689,4578.9,11072
2690,4417.1,10937
2691,4180.8,11145
2692,4183.2,10856
2693,4560.2,11627
2694,4148.2,10990
2695,4716.6,11774
2696,4310.4,11353
2697,4998.3,11599
2698,4881.2,10590
2699,4516.4,11830
2700,5632.9,10577
2701,5336.1,10362
2702,5246.4,11510
2703,5034.6,11763
2704,4227.1,10703
2705,5633.7,10938
2706,5457.2,10631
2707,4371.3,11740
2708,4493.8,10525
2709,5501,10754
2710,4336.3,11122
2711,4786.3,10475
2712,5365.6,10639
2713,4851.5,11891
2714,4309.9,11521
2715,3728,10468
2716,3737.3,10694
2717,3727.3,11186
2718,3511.2,11348
2719,3438.5,10543
2720,3457.7,10242
2721,3314.7,11048
2722,3291.5,11408
2723,3269.8,10363
2724,3193.3,10734
2725,3259.8,10869
2726,3100.7,11394
2727,2971.5,11340
2728,2945.5,10747
2729,2922.3,10291
2730,2697.9,11763
2731,2475.6,11804
2732,2502.8,10215
2733,2576.2,10335
2734,2512.7,10493
2735,2520.3,11469
2736,2258.9,10994
2737,2652.7,11441
2738,3699.4,11634
2739,2648.7,10828
2740,3668.9,10249
2741,3472.4,11226
2742,2986.6,10965
2743,2931.3,10580
2744,3719.9,10876
2745,3583.2,11159
2746,2418.9,11513
2747,2945.2,11105
2748,3588.7,11849
