""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"gene_symbol"
"ENSMUSG00000000308.14"	23141.6250140595	0.108294487093526	0.0675614396714583	1.60290378091626	0.108955898825659	0.999818703842646	"Ckmt1"
"ENSMUSG00000000317.11"	221.552397807172	0.149004441050752	0.260636806620191	0.571693779489428	0.56752944940968	0.999818703842646	"Bcl6b"
"ENSMUSG00000000318.16"	107.162127592594	0.261945973669268	0.353445415626208	0.741121435130716	0.458619813936969	0.999818703842646	"Clec10a"
"ENSMUSG00000000320.10"	95.4576480860676	-0.0947582388529748	0.357053630184644	-0.265389372470383	0.790709522274119	0.999818703842646	"Alox12"
"ENSMUSG00000000325.16"	2194.35092456049	-0.142106902172445	0.134525912701796	-1.05635337696949	0.290806798127296	0.999818703842646	"Arvcf"
"ENSMUSG00000000326.13"	6036.47166152103	-0.0280698900200017	0.0717192203713786	-0.391385877797463	0.695512029375889	0.999818703842646	"Comt"
"ENSMUSG00000000339.14"	5883.5194524283	0.00178112317700286	0.0716561641126566	0.0248565241952194	0.980169405175345	0.999818703842646	"Rtca"
"ENSMUSG00000000340.10"	2847.2074116357	-0.027608043001476	0.105683792037262	-0.261232517013979	0.793913203523418	0.999818703842646	"Dbt"
"ENSMUSG00000000346.9"	16801.2140381099	-0.00423260637783471	0.0783867267832119	-0.0539964679165709	0.95693797833239	0.999818703842646	"Dazap2"
"ENSMUSG00000000355.13"	2975.99085810442	-0.0528500217029957	0.0796502639269064	-0.663526008545248	0.506993727835976	0.999818703842646	"Mcts1"
"ENSMUSG00000000359.3"	51.2591716877438	0.585870669741278	0.493992496459858	1.18599103010644	0.235625841871945	0.999818703842646	"Rem1"
"ENSMUSG00000000365.9"	79.6337326122486	0.443905695825302	0.36010782034431	1.23270218181008	0.217686897534154	0.999818703842646	"Rnf17"
"ENSMUSG00000000374.8"	13759.1115311689	0.00126904716166734	0.0609937865307227	0.0208061711503698	0.983400274939532	0.999818703842646	"Trappc10"
"ENSMUSG00000000378.15"	5640.15792171404	0.168351788425527	0.0906382050894873	1.85740426191486	0.0632536605907984	0.999818703842646	"Ccm2"
"ENSMUSG00000000381.10"	0	NA	NA	NA	NA	NA	"Wap"
"ENSMUSG00000000384.15"	3361.29469145109	-0.022459944956718	0.0760080945932522	-0.295494119105466	0.767616444160219	0.999818703842646	"Tbrg4"
"ENSMUSG00000000385.8"	5.17744373924111	0.360689385722367	1.76583613623329	0.204259828146769	0.838150460622175	0.999818703842646	"Tmprss2"
"ENSMUSG00000000386.15"	40.0160038364982	-0.214403808481782	0.505481431818239	-0.424157634654475	0.671450855240556	0.999818703842646	"Mx1"
"ENSMUSG00000000392.17"	290.116854195914	-0.222783355142301	0.248069888819464	-0.898066896399644	0.3691498861784	0.999818703842646	"Fap"
"ENSMUSG00000000394.15"	6.26399598316386	0.634054973002914	1.50412920197701	0.421542891507935	0.673358697908542	0.999818703842646	"Gcg"
"ENSMUSG00000000399.10"	12291.6036769412	-0.00967714321510777	0.0690284140868011	-0.140190722083504	0.888509302218671	0.999818703842646	"Ndufa9"
"ENSMUSG00000000402.2"	289.437353677207	0.0336404081743976	0.236639944959985	0.142158620684628	0.886954715679955	0.999818703842646	"Egfl6"
"ENSMUSG00000000409.14"	173.775215649494	0.231100284755643	0.259678480297551	0.88994777114699	0.373493931259659	0.999818703842646	"Lck"
"ENSMUSG00000000411.7"	11.368275742522	0.419984221122973	0.878545155291427	0.478045116512717	0.632618093861112	0.999818703842646	"Tssk3"
"ENSMUSG00000000416.16"	9958.53745415281	-0.0996035749793158	0.0921643153365758	-1.08071735373471	0.279822861278036	0.999818703842646	"Cttnbp2"
"ENSMUSG00000000420.15"	7998.92837686934	-0.0544540437816616	0.0673512618549122	-0.808508144939679	0.418798119177512	0.999818703842646	"Galnt1"
"ENSMUSG00000000435.1"	0.453241157458665	-2.06577000207781	3.9869160807053	-0.518137317230005	0.60436246528874	NA	"Myf5"
"ENSMUSG00000000439.9"	5424.40744491798	0.0354994637245131	0.0704037623182888	0.504226799187568	0.614102010181267	0.999818703842646	"Mkrn2"
"ENSMUSG00000000440.12"	337.850587104647	0.102708069023817	0.242705004651659	0.423180680477637	0.672163441226028	0.999818703842646	"Pparg"
"ENSMUSG00000000441.17"	7837.04863896583	0.00704929428149254	0.0632458326447405	0.111458636667641	0.911252664324939	0.999818703842646	"Raf1"
"ENSMUSG00000000486.13"	116.857937223096	-0.145165042871046	0.333577091498379	-0.435176894849061	0.663434032219637	0.999818703842646	"Sept1"
"ENSMUSG00000000489.7"	3643.66054199829	0.0889527410137777	0.091734450346811	0.969676502965715	0.332207766239077	0.999818703842646	"Pdgfb"
"ENSMUSG00000000530.16"	1954.82379955921	0.0690391496032116	0.0958313877053586	0.720423143777048	0.471264504559095	0.999818703842646	"Acvrl1"
"ENSMUSG00000000531.5"	6114.0820921867	0.112024636161604	0.0943219335441428	1.18768383929678	0.234957993059888	0.999818703842646	"Grasp"
"ENSMUSG00000000532.11"	20624.8289818134	-0.0516178639264395	0.0757611435304454	-0.68132371715979	0.495666679334404	0.999818703842646	"Acvr1b"
"ENSMUSG00000000538.18"	38002.7891219682	-0.0346735983641514	0.0655291096214764	-0.529132755876597	0.596713360012266	0.999818703842646	"Tom1l2"
"ENSMUSG00000000544.14"	1.04327831116956	3.71479003421357	3.96315902619677	0.937330551123118	0.348588552450794	NA	"Gpa33"
"ENSMUSG00000000552.10"	8578.43331285506	-0.00916099230436783	0.0668898003450248	-0.13695649048307	0.891065186521423	0.999818703842646	"Zfp385a"
"ENSMUSG00000000555.8"	650.41669263788	0.022934426414798	0.152583601667849	0.150307281805569	0.880522188208258	0.999818703842646	"Itga5"
"ENSMUSG00000000560.9"	8298.20778182074	-0.171666212146903	0.264287308171874	-0.649543912397273	0.515986872653566	0.999818703842646	"Gabra2"
"ENSMUSG00000000561.14"	6583.39494919058	-0.0329229116838491	0.0646239075822982	-0.509454053701751	0.61043399613743	0.999818703842646	"Wdr77"
"ENSMUSG00000000562.5"	109.027456996029	-0.0676392561317058	0.334506024471761	-0.202206391464905	0.839755376672542	0.999818703842646	"Adora3"
"ENSMUSG00000000563.17"	32346.5820906332	0.0271739536885004	0.0732811918294221	0.370817572833063	0.710773411825334	0.999818703842646	"Atp5f1"
"ENSMUSG00000000567.5"	4634.79044456382	-0.0226037165062638	0.132459293895299	-0.170646512158903	0.864501722876846	0.999818703842646	"Sox9"
"ENSMUSG00000000568.15"	18424.2180062461	-0.133986817205681	0.068995803066864	-1.94195605022285	0.0521424210589659	0.999818703842646	"Hnrnpd"
"ENSMUSG00000000579.14"	407.832579273058	0.114925990981953	0.162354405403731	0.707871096544398	0.479025310245959	0.999818703842646	"Dynlt1c"
"ENSMUSG00000000581.8"	5087.74756818697	-0.187622871291507	0.0922921316775365	-2.03292380272514	0.0420602218240724	0.999818703842646	"C1d"
"ENSMUSG00000000594.7"	10163.2081049763	0.0992343122108181	0.0722819885533043	1.37287745117358	0.169790447596203	0.999818703842646	"Gm2a"
"ENSMUSG00000000600.15"	4759.41125808734	-0.0849811582735651	0.0784416986237049	-1.08336713463117	0.278645497392324	0.999818703842646	"Krit1"
"ENSMUSG00000000605.9"	30071.0356573001	-0.048823562638352	0.0580623002130367	-0.840882336028941	0.400413854982185	0.999818703842646	"Clcn4"
"ENSMUSG00000000606.18"	6.0171589399173	-0.62925622248655	1.33036117440524	-0.472996532515217	0.636215653025616	0.999818703842646	"Vmn2r88"
"ENSMUSG00000000617.14"	0.882940590989738	-0.839928535396721	3.58305671609097	-0.234416756961933	0.814661450850319	NA	"Grm6"
"ENSMUSG00000000627.15"	6815.17904534718	-0.00527966065777132	0.0679941867010258	-0.0776487066605604	0.938107496997265	0.999818703842646	"Sema4f"
"ENSMUSG00000000628.10"	515.688730171327	0.0680067789567352	0.148637598845221	0.457534160165974	0.647287154841327	0.999818703842646	"Hk2"
"ENSMUSG00000000631.20"	27437.7345575972	0.0229028709811509	0.0825478068474276	0.277449781597252	0.781434761135726	0.999818703842646	"Myo18a"
"ENSMUSG00000000632.13"	32981.9844419495	-0.0718133501132131	0.0676265519303628	-1.06191056712697	0.288276287401969	0.999818703842646	"Sez6"
"ENSMUSG00000000673.9"	21.6631077004256	-0.522981096020463	0.723473561475605	-0.722875200793495	0.469756560708998	0.999818703842646	"Haao"
"ENSMUSG00000000682.7"	108.467915219088	0.434195390093346	0.370165262725717	1.17297713701211	0.240804974223062	0.999818703842646	"Cd52"
"ENSMUSG00000000686.11"	133.932545776844	0.07453818046571	0.30468831557932	0.244637475920225	0.806737143976886	0.999818703842646	"Abhd15"
"ENSMUSG00000000690.5"	1.90888459070336	-0.00277017143691913	2.35793587641016	-0.00117482899540787	0.999062622298612	NA	"Hoxb6"
"ENSMUSG00000000693.10"	674.17185714367	0.0424861625954783	0.148774065878832	0.285575058693904	0.775203608527641	0.999818703842646	"Loxl3"
"ENSMUSG00000000701.8"	0.307433420682157	-1.46522600065974	4.02758389065764	-0.363797760751419	0.716009034903042	NA	"Tcl1b5"
"ENSMUSG00000000706.16"	5.67485522075826	-1.85321155375268	1.30307859568569	-1.42217941411087	0.154974173302305	0.999818703842646	"Btn1a1"
"ENSMUSG00000000708.14"	2852.0190512528	-0.0169347158330301	0.0940346603411326	-0.180090147309465	0.85708179745831	0.999818703842646	"Kat2b"
"ENSMUSG00000000711.3"	21067.5304245346	0.0284067557803648	0.0540973707113249	0.525104185413175	0.599510766706241	0.999818703842646	"Rab5b"
"ENSMUSG00000000724.10"	8.950690078931	0.323306483346222	1.29723998780905	0.249226424088471	0.803185640707491	0.999818703842646	"Cryba1"
"ENSMUSG00000000730.13"	10.0096570575806	-0.658728218835111	1.11559139420825	-0.590474453509585	0.554872607877338	0.999818703842646	"Dnmt3l"
"ENSMUSG00000000731.15"	13.39967236476	-0.0921884011687288	0.860152582297085	-0.107176799867919	0.91464872042289	0.999818703842646	"Aire"
"ENSMUSG00000000732.9"	419.916068406653	0.192523754840701	0.1991006724687	0.966966873861095	0.333560593873428	0.999818703842646	"Icosl"
"ENSMUSG00000000738.18"	6712.6793262185	0.00481604209782914	0.0701420270253556	0.0686612905567755	0.945259231114145	0.999818703842646	"Spg7"
"ENSMUSG00000000739.14"	52.6014579557653	0.12828589316211	0.52200006469713	0.245758385559861	0.805869272705829	0.999818703842646	"Sult5a1"
"ENSMUSG00000000740.12"	31635.6922734797	-0.0335711227073337	0.081689687234901	-0.410959128914266	0.68110250417828	0.999818703842646	"Rpl13"
